Cite Key,Title,Authors,Year,Publication Date,Journal,Abstract,Citation Count,Citations/Year,DOI,URL
Ull25,Product Manager Practices for Delegating Work to Generative AI: “Accountability must not be delegated to non-human actors”,Mara Ulloa; Jenna L. Butler; Sankeerti Haniyur; Courtney Miller; Barrett Amos; Advait Sarkar; M. Storey,2025,2025-10-02,Proceedings of the IEEE/ACM 48th International Conference on Software Engineering: Software Engineering in Practice,"Generative AI (GenAI) is changing the nature of knowledge work, particularly for Product Managers (PMs) in software development teams. While much software engineering research has focused on developers’ interactions with GenAI, there is less understanding of how the work of PMs is evolving due to GenAI. To address this gap, we conducted a mixed-methods study at Microsoft, a large, multinational software company: surveying 885 PMs, analyzing telemetry data for a subset of PMs (N=731), and interviewing a subset of 15 PMs. We contribute: (1) PMs’ current GenAI adoption rates, uses cases, and perceived benefits and barriers; (2) a value-based Selective Delegation Framework capturing how PMs assess which tasks to delegate to GenAI; (3) PMs adaptation practices for integrating GenAI into their roles and perceptions of how their role is evolving. We end by discussing implications on the broader GenAI workflow adoption process and software development roles.",7,8.1,10.1145/3786583.3786849,https://doi.org/10.1145/3786583.3786849
Wit25,Where does AI play a major role in the new product development and product management process?,Aron Witkowski; Andrzej Wodecki,2025,2025-05-27,Management Review Quarterly,,8,6.6,10.1007/s11301-025-00533-5,https://doi.org/10.1007/s11301-025-00533-5
Wei24,Getting Inspiration for Feature Elicitation: App Store- vs. LLM-based Approach,Jialiang Wei; A. Courbis; Thomas Lambolais; Binbin Xu; P. Bernard; Gérard Dray; Walid Maalej,2024,2024-08-30,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),"Over the past decade, app store (AppStore)-inspired requirements elicitation has proven to be highly beneficial. Developers often explore competitors’ apps to gather inspiration for new features. With the advance of Generative AI, recent studies have demonstrated the potential of large language model (LLM)-inspired requirements elicitation. LLMs can assist in this process by providing inspiration for new feature ideas. While both approaches are gaining popularity in practice, there is a lack of insight into their differences. We report on a comparative study between AppStore- and LLM-based approaches for refining features into sub-features. By manually analyzing 1,200 sub-features recommended from both approaches, we identified their benefits, challenges, and key differences. While both approaches recommend highly relevant sub-features with clear descriptions, LLMs seem more powerful particularly concerning novel unseen app scopes. Moreover, some recommended features are imaginary with unclear feasibility, which suggests the importance of a human-analyst in the elicitation loop.CCS CONCEPTS• Software and its engineering → Requirements analysis; • Computing methodologies → Natural language processing.",11,5.6,10.1145/3691620.3695591,https://doi.org/10.1145/3691620.3695591
Can25,The Emerging Use of GenAI for UX Research in Software Development: Challenges and Opportunities,Heloisa Candello; Werner Geyer; Siya Kunde; Michael J. Muller; Daita Sarkar; Jessica He; Mariela Claudia Lanza; Carlos Rosemberg; Gord Davison; L. Pelletier,2025,2025-12-17,ArXiv,"The growing adoption of generative AI (GenAI) is reshaping how user experience (UX) research teams conduct qualitative research in software development, creating opportunities to streamline the production of qualitative insights. This paper presents findings from two user studies examining how current practices are challenged by GenAI and offering design implications for future AI assistance. Semi-structured interviews with 21 UX researchers, product managers, and designers reveal challenges of aligning AI capabilities with the interpretive, collaborative nature of qualitative research and tensions between roles. UX researchers expressed limited trust in AI-generated results, while product managers often overestimated AI capabilities, amplifying organizational pressures to accelerate research within agile workflows. In a second study, we validated an AI analysis approach more closely aligned with human analysis processes to address trust issues bottoms-up. We outline interaction patterns and design guidelines for responsibly integrating AI into software development cycles.",0,0.0,10.48550/arXiv.2512.15944,https://doi.org/10.48550/arXiv.2512.15944
Shi24,Understanding Human-AI Workflows for Generating Personas,Joongi Shin; Michael A. Hedderich; Bartłomiej Jakub Rey; Andrés Lucero; Antti Oulasvirta,2024,2024-07-01,Proceedings of the 2024 ACM Designing Interactive Systems Conference,"One barrier to deeper adoption of user-research methods is the amount of labor required to create high-quality representations of collected data. Trained user researchers need to analyze datasets and produce informative summaries pertaining to the original data. While Large Language Models (LLMs) could assist in generating summaries, they are known to hallucinate and produce biased responses. In this paper, we study human–AI workflows that differently delegate subtasks in user research between human experts and LLMs. Studying persona generation as our case, we found that LLMs are not good at capturing key characteristics of user data on their own. Better results are achieved when we leverage human skill in grouping user data by their key characteristics and exploit LLMs for summarizing pre-grouped data into personas. Personas generated via this collaborative approach can be more representative and empathy-evoking than ones generated by human experts or LLMs alone. We also found that LLMs could mimic generated personas and enable interaction with personas, thereby helping user researchers empathize with them. We conclude that LLMs, by facilitating the analysis of user data, may promote widespread application of qualitative methods in user research.",53,25.0,10.1145/3643834.3660729,https://doi.org/10.1145/3643834.3660729
Wan26b,Interview-Informed Generative Agents for Product Discovery: A Validation Study,Zichao Wang; Alexa Siu,2026,2026-03-10,Proceedings of the 2026 CHI Conference on Human Factors in Computing Systems,"Large language models (LLMs) have shown strong performance on standardized social science instruments, but their value for product discovery remains unclear. We investigate whether interview-informed generative agents can simulate user responses in concept testing scenarios. Using in-depth workflow interviews with knowledge workers, we created personalized agents and compared their evaluations of novel AI concepts against the same participants’ responses. Our results show that agents are distribution-calibrated but identity-imprecise: they fail to replicate the specific individual they are grounded in, yet approximate population-level response distributions. These findings highlight both the potential and the limits of LLM simulation in design research. While unsuitable as a substitute for individual-level insights, simulation may provide value for early-stage concept screening and iteration, where distributional accuracy suffices. We discuss implications for integrating simulation responsibly into product development workflows.",1,2.3,10.1145/3772318.3791918,https://doi.org/10.1145/3772318.3791918
Wit24,"An Exploration of the Applications, Challenges, and Success Factors in AI-Driven Product Development and Management",Aron Witkowski; Andrzej Wodecki,2024,2024-01-01,Foundations of Management,"Abstract While extensive research studies exist on the influence of AI solutions on organizations as a whole, there is a paucity of comprehensive studies examining the adoption of these solutions in product development and subsequent management processes. This article presents an exploratory investigation of the applications, challenges, and determinants of success associated with artificial intelligence (AI) solutions employed in the product development and management processes. To this end, a qualitative thematic analysis is conducted based on twelve in-depth interviews with experts proficient in AI engineering and product management, representing twelve distinct organizations within the Polish IT sector. This article offers insights into four potential applications and expounds on various factors impacting the challenges and success of deployed AI solutions, generating two additional emergent themes. This article delineates practical implications for organizations and product managers and proposes intriguing directions for future research exploring topical areas of study.",7,2.7,10.2478/fman-2024-0009,https://doi.org/10.2478/fman-2024-0009
Zha24,LLM-based agents for automating the enhancement of user story quality: An early report,Zheying Zhang; M. Rayhan; Tomas Herda; Manuel Goisauf; Pekka Abrahamsson,2024,2024-03-14,,"In agile software development, maintaining high-quality user stories is crucial, but also challenging. This study explores the use of large language models to automatically improve the user story quality in Austrian Post Group IT agile teams. We developed a reference model for an Autonomous LLM-based Agent System and implemented it at the company. The quality of user stories in the study and the effectiveness of these agents for user story quality improvement was assessed by 11 participants across six agile teams. Our findings demonstrate the potential of LLMs in improving user story quality, contributing to the research on AI role in agile development, and providing a practical example of the transformative impact of AI in an industry setting.",47,19.5,10.1007/978-3-031-61154-4_8,https://doi.org/10.1007/978-3-031-61154-4_8
Sam24,Prioritizing Software Requirements Using Large Language Models,Malik Abdul Sami; Z. Rasheed; Muhammad Waseem; Zheying Zhang; Tomas Herda; Pekka Abrahamsson,2024,2024-04-05,ArXiv,"Large Language Models (LLMs) are revolutionizing Software Engineering (SE) by introducing innovative methods for tasks such as collecting requirements, designing software, generating code, and creating test cases, among others. This article focuses on requirements engineering, typically seen as the initial phase of software development that involves multiple system stakeholders. Despite its key role, the challenge of identifying requirements and satisfying all stakeholders within time and budget constraints remains significant. To address the challenges in requirements engineering, this study introduces a web-based software tool utilizing AI agents and prompt engineering to automate task prioritization and apply diverse prioritization techniques, aimed at enhancing project management within the agile framework. This approach seeks to transform the prioritization of agile requirements, tackling the substantial challenge of meeting stakeholder needs within set time and budget limits. Furthermore, the source code of our developed prototype is available on GitHub, allowing for further experimentation and prioritization of requirements, facilitating research and practical application.",14,5.9,10.48550/arXiv.2405.01564,https://doi.org/10.48550/arXiv.2405.01564
Cab24,Exploring Human-AI Collaboration in Agile: Customised LLM Meeting Assistants,Beatriz Cabrero-Daniel; Tomas Herda; Victoria Pichler; M. Eder,2024,2024-04-23,ArXiv,"This action research study focuses on the integration of""AI assistants""in two Agile software development meetings: the Daily Scrum and a feature refinement, a planning meeting that is part of an in-house Scaled Agile framework. We discuss the critical drivers of success, and establish a link between the use of AI and team collaboration dynamics. We conclude with a list of lessons learnt during the interventions in an industrial context, and provide a assessment checklist for companies and teams to reflect on their readiness level. This paper is thus a road-map to facilitate the integration of AI tools in Agile setups.",21,9.1,10.48550/arXiv.2404.14871,https://doi.org/10.48550/arXiv.2404.14871
